Research Area,Professor Name,Profile URL,Biography,Research Interests,Education,Publication Date,Publication Title,Publication Link,Citation,Publication Summary
Network Science,Albert-László Barabási,https://www.khoury.northeastern.edu/people/albert-laszlo-barabasi/,"Albert-László Barabási is the Robert Gray Dodge Professor of Network Science and a Distinguished University Professor at Northeastern University, based in Boston. He directs the Center for Complex Network Research and holds appointments in the College of Science and the Khoury College of Computer Sciences.",Network science; Properties of sub-cellular networks in understanding human disease; Control theory,"PhD in Physics, Boston University; MS in Theoretical Physics, Eötvös Loránd University — Hungary; BS in Physics and Engineering, University of Bucharest — Romania","September 8th, 2020",3D Topology Transformation with Generative Adversarial Networks,http://computationalcreativity.net/iccc20/papers/052-iccc20.pdf," Luca Stornaiuolo, Nima Dehmamy, Albert-László Barabási, Mauro Martino. (2020). 3D Topology Transformation with Generative Adversarial Networks ICCC, 461-468. http://computationalcreativity.net/iccc20/papers/052-iccc20.pdf","Generation and transformation of images and videos using artiﬁcial intelligence have ﬂourished over the past few years. Yet, there are only a few works aim- ing to produce creative 3D shapes, such as sculptures. Here we show a novel 3D-to-3D topology transfor- mation method using Generative Adversarial Networks (GAN). We use a modiﬁed pix2pix GAN, which we call Vox2Vox, to transform the volumetric style of a 3D ob- ject while retaining the original object shape. In par- ticular, we show how to transform 3D models into two new volumetric topologies - the 3D Network and the Ghirigoro. We describe how to use our approach to con- struct customized 3D representations. We believe that the generated 3D shapes are novel and inspirational. Fi- nally, we compare the results between our approach and a baseline algorithm that directly convert the 3D shapes, without using our GAN.and Future Direction In this paper, we presented a novel 3D-to-3D topology trans- fer paradigm based on transformations in 3D space. In particular, we built a 3D conditional GAN, Vox2Vox, that performs volumetric transformations to modify the internal structure of any 3D object, while maintaining its overall shape. We described our complete pipeline to apply our ap- proach to two different topologies: the 3D Network and the Ghirigoro. The results obtained by employing our method- ology are novel and inspirational. We compared the out- puts of the pipeline while using or not the 3D-cGAN and found that using the Vox2Vox output as a prior distribution results in much nicer outcomes where features are placed in strategic positions in the 3D shape preserving its struc- tural features. As a future direction, we plan to improve the 3D-to-3D topology transfer by given also the topology as a conditional input of the generative network. To do that, the machine learning algorithm has to learn itself the abstraction of the topology from a given 3D object."
Network Science,Albert-László Barabási,https://www.khoury.northeastern.edu/people/albert-laszlo-barabasi/,"Albert-László Barabási is the Robert Gray Dodge Professor of Network Science and a Distinguished University Professor at Northeastern University, based in Boston. He directs the Center for Complex Network Research and holds appointments in the College of Science and the Khoury College of Computer Sciences.",Network science; Properties of sub-cellular networks in understanding human disease; Control theory,"PhD in Physics, Boston University; MS in Theoretical Physics, Eötvös Loránd University — Hungary; BS in Physics and Engineering, University of Bucharest — Romania","April 18th, 2020","Give more data, awareness and control to individual citizens, and they will help COVID-19 containment",http://www.tdp.cat/issues16/tdp.a389a20.pdf," Mirco Nanni, Gennady L. Andrienko, Albert-László Barabási, Chiara Boldrini, Francesco Bonchi, Ciro Cattuto, Francesca Chiaromonte, Giovanni Comandé, Marco Conti, Mark Coté, Frank Dignum, Virginia Dignum, Josep Domingo-Ferrer, Paolo Ferragina, Fosca Giannotti, Riccardo Guidotti, Dirk Helbing, Kimmo Kaski, János Kertész, Sune Lehmann, Bruno Lepri, Paul Lukowicz, Stan Matwin, David Megías, Anna Monreale, Katharina Morik, Nuria Oliver, Andrea Passarella, Andrea Passerini, Dino Pedreschi, Alex Pentland, Fabio Pianesi, Francesca Pratesi, Salvatore Rinzivillo, Salvatore Ruggieri, Arno Siebes, Vicenç Torra, Roberto Trasarti, Jeroen van den Hoven, Alessandro Vespignani. (2020). Give more data, awareness and control to individual citizens, and they will help COVID-19 containment Trans. Data Priv., 13, 61-66. http://www.tdp.cat/issues16/tdp.a389a20.pdf","The rapid dynamics of COVID-19 calls for quick and effective tracking of virus transmis- sion chains and early detection of outbreaks, especially in the “phase 2” of the pandemic, when lockdown and other restriction measures are progressively withdrawn, in order to avoid or mini- mize contagion resurgence. For this purpose, contact-tracing apps are being proposed for large scale adoption by many countries. A centralized approach, where data sensed by the app are all sent to a nation-wide server, raises concerns about citizens’ privacy and needlessly strong digital surveillance, thus alerting us to the need to minimize personal data collection and avoiding location tracking. We advocate the conceptual advantage of a decentralized approach, where both contact and location data are collected exclusively in individual citizens’ “personal data stores”, to be shared separately and selectively (e.g., with a backend system, but possibly also with other citizens), voluntarily, only when the citizen has tested positive for COVID-19, and with a privacy preserving level of granularity. This 61 62 Mirco Nanni et al. approach better protects the personal sphere of citizens and affords multiple beneﬁts: it allows for detailed information gathering for infected people in a privacy-preserving fashion; and, in turn this enables both contact tracing, and, the early detection of outbreak hotspots on more ﬁnely-granulated geographic scale. The decentralized approach is also scalable to large populations, in that only the data of positive patients need be handled at a central level. Our recommendation is two-fold. First to extend existing decentralized architectures with a light touch, in order to manage the collection of lo- cation data locally on the device, and allow the user to share spatio-temporal aggregates – if and when they want and for speciﬁc aims – with health authorities, for instance. Second, we favour a longer- term pursuit of realizing a Personal Data Store vision, giving users the opportunity to contribute to collective good in the measure they want, enhancing self-awareness, and cultivating collective efforts for rebuilding society. Keywords. COVID-19, Personal Data Store, mobility data analysis, contact tracing. 1conclusion not found"
Personal Health Informatics,Stephen Intille,https://www.khoury.northeastern.edu/people/stephen-intille/,"Stephen Intille is a professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.","Personal health informatics; Interactive, mobile sensing; Machine learning; Behavioral theory and measurement","PhD in Media Arts and Sciences, Massachusetts Institute of Technology; SM in Media Arts and Sciences, Massachusetts Institute of Technology; BSE in Computer Science and Engineering, University of Pennsylvania","January 1st, 2022",Techno-Spiritual Engagement: Mechanisms for Improving Uptake of mHealth Apps Designed for Church Members 130-138,http://ceur-ws.org/Vol-3124/paper13.pdf," Hye Sun Yun, Shou Zhou, Everlyne Kimani, Stefan Olafsson, Teresa K. O'Leary, Dhaval Parmar, Jessica A. Hoffman, Stephen S. Intille, Michael K. Paasche-Orlow, Timothy W. Bickmore. (2022). Techno-Spiritual Engagement: Mechanisms for Improving Uptake of mHealth Apps Designed for Church Members 130-138 IUI Workshops, 130-138. http://ceur-ws.org/Vol-3124/paper13.pdf","Keeping users engaged with mHealth applications is important but difficult to achieve. We describe the development of a smartphone-based application designed to promote health and wellness in church communities, along with mechanisms explicitly designed to maintain engagement. We evaluated religiously tailored techno-spiritual engagement mechanisms, including a prayer posting wall, pastor announcements, an embodied conversational agent for dialogue-based scriptural reflections and health coaching, and tailored push notifications. We conducted a four-week pilot study with 25 participants from two churches, measuring high levels of participant acceptance and satisfaction with all features of the application. Engagement with the app was higher for users considered to be more religious and correlated with the number of notifications received. Our findings demonstrate that our tailored mechanisms can increase engagement with an mHealth app. Keywords engagement, tailoring, field study, church communities, mHealth,s and Limitations Maintaining user retention with mobile interventions is essential for affecting longitudinal outcomes in health, education, and other application domains. Utilizing well- tailored engagement mechanisms that meet the interests and needs of a priority population may be useful in main- taining engagement with the app over time and more effective at providing help and interventions to users. We explored a range of religiously tailored engagement strategies that can be used to motivate church community members to interact with a smartphone-based mHealth app. We described and evaluated six religiously tailored engagement mechanisms in this pilot study: an ECA, Prayer Center, Pastor Announcements, Bible Story of the Day, Scriptural Meditation, and push notifications. We demonstrated that push notifications were effective at driving the use of the app, with the number of notifica- tions per day and the user’s private religious practices score being significant factors in predicting the number of user logins per day throughout the study. We found that user satisfaction with all elements of the app was high with several participants finding Clara to be relatable and having personal resonance with the religiosity, spir- ituality, and role she exhibits. Our study demonstrated that religiously tailored engagement mechanisms that fulfill techno-spiritual functions can help religious users engage with an mHealth application. We did not find that the use of the app led to signif- icant pre-post improvements in health attitudes or be- haviors, likely due to the short duration of the study and a small convenience sample. We plan to evaluate the effectiveness of our app in improving health behaviors through future studies and used this pilot study to mainly evaluate the engagement mechanisms. Also, due to the participants of our pilot study being financially compen- sated, we can expect some level of response bias where engagement and satisfaction with our app can partly be associated with being compensated rather than the en- gagement mechanisms. In addition, we did not explore the duration of ECA sessions or scrolling through the Prayer Wall as a measure of engagement. Measuring session duration in light of app suspension, exits, and interrupts is very error-prone, and we felt that these data were too noisy to warrant analysis. Finally, this pilot study lacked a control condition, and a series of studies to systematically evaluate each engagement mechanism relative to a control is ultimately needed."
Robotics,Robert Platt,https://www.khoury.northeastern.edu/people/robert-platt/,"Robert Platt is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is also affiliated with the College of Engineering.","Perception, planning, and control for robotic manipulation","PhD in Computer Science, University of Massachusetts Amherst","February 27th, 2023",Image to Sphere: Learning Equivariant Features for Efficient Pose Prediction,https://openreview.net/pdf?id=_2bDpAtr7PI," David Klee, Ondrej Biza, Robert Platt, Robin Walters. (2023). Image to Sphere: Learning Equivariant Features for Efficient Pose Prediction ICLR. https://openreview.net/pdf?id=_2bDpAtr7PI","Predicting the pose of objects from a single image is an important but difficult computer vision problem. Methods that predict a single point estimate do not predict the pose of objects with symmetries well and cannot represent uncertainty. Alternatively, some works predict a distribution over orientations in SO(3). How- ever, training such models can be computation- and sample-inefficient. Instead, we propose a novel mapping of features from the image domain to the 3D rotation manifold. Our method then leverages SO(3) equivariant layers, which are more sample efficient, and outputs a distribution over rotations that can be sampled at arbitrary resolution. We demonstrate the effectiveness of our method at object orientation prediction, and achieve state-of-the-art performance on the popular PASCAL3D+ dataset. Moreover, we show that our method can model complex object symmetries, without any modifications to the parameters or loss function. Code is available at https://dmklee.github.io/image2sphere. 1In this work, we present the first method to leverage SO(3)-equivariance for predicting distributions over 3D rotations from single images. Our method is better suited than regression methods at handling unknown object symmetries, generates more expressive distributions than methods using parametric families of multi-modal distributions while requiring fewer samples than an implicit modeling approach. We demonstrate state-of-the-art performance on the challenging PASCAL3D+ dataset composed of real images. One limitation of our work is that we use a high maximum frequency, L, in the spherical convolution operations to have higher resolution predictions. Because the number of operations in a spherical convolution is quadratic in L, it may be impractical for applications where more spherical convolutions are required. 9 Published as a conference paper at ICLR 2023"
Robotics,Robert Platt,https://www.khoury.northeastern.edu/people/robert-platt/,"Robert Platt is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is also affiliated with the College of Engineering.","Perception, planning, and control for robotic manipulation","PhD in Computer Science, University of Massachusetts Amherst","November 16th, 2022",The Surprising Effectiveness of Equivariant Models in Domains with Latent Symmetry,https://openreview.net/pdf?id=P4MUGRM4Acu," Dian Wang , Jung Yeon Park, Neel Sortur, Lawson L. S. Wong, Robin Walters, Robert Platt. (2023). The Surprising Effectiveness of Equivariant Models in Domains with Latent Symmetry ICLR. https://openreview.net/pdf?id=P4MUGRM4Acu","Extensive work has demonstrated that equivariant neural networks can signifi- cantly improve sample efficiency and generalization by enforcing an inductive bias in the network architecture. These applications typically assume that the do- main symmetry is fully described by explicit transformations of the model inputs and outputs. However, many real-life applications contain only latent or partial symmetries which cannot be easily described by simple transformations of the in- put. In these cases, it is necessary to learn symmetry in the environment instead of imposing it mathematically on the network architecture. We discover, surpris- ingly, that imposing equivariance constraints that do not exactly match the domain symmetry is very helpful in learning the true symmetry in the environment. We differentiate between extrinsic and incorrect symmetry constraints and show that while imposing incorrect symmetry can impede the model’s performance, impos- ing extrinsic symmetry can actually improve performance. We demonstrate that an equivariant model can significantly outperform non-equivariant methods on domains with latent symmetries both in supervised learning and in reinforcement learning for robotic manipulation and control problems. 1conclusion not found"
Robotics,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","February 20th, 2023",Improving Deep Policy Gradients with Value Function Search,https://openreview.net/pdf?id=6qZC7pfenQm," Enrico Marchesini, Christopher Amato. (2023). Improving Deep Policy Gradients with Value Function Search ICLR. https://openreview.net/pdf?id=6qZC7pfenQm","Deep Policy Gradient (PG) algorithms employ value networks to drive the learn- ing of parameterized policies and reduce the variance of the gradient estimates. However, value function approximation gets stuck in local optima and struggles to fit the actual return, limiting the variance reduction efficacy and leading policies to sub-optimal performance. This paper focuses on improving value approxima- tion and analyzing the effects on Deep PG primitives such as value prediction, variance reduction, and correlation of gradient estimates with the true gradient. To this end, we introduce a Value Function Search that employs a population of perturbed value networks to search for a better approximation. Our framework does not require additional environment interactions, gradient computations, or ensembles, providing a computationally inexpensive approach to enhance the su- pervised learning task on which value networks train. Crucially, we show that improving Deep PG primitives results in improved sample efficiency and policies with higher returns using common continuous control benchmark domains. 1VFS introduces a two-scale perturbation operator voted to diversify a population of value networks to (i) explore local variations of current critics’ predictions and (ii) allow to explore diversified value functions to escape from local optima. The practical results of such components have been investigated with additional experiments that also motivate the improvement in sample efficiency and performance of VFS-based algorithms in a range of standard continuous control benchmarks. Our findings suggest that improving fundamental Deep PG primitives translates into higher-performing policies and better sample efficiency. 9 Published as a conference paper at ICLR 2023 7"
Robotics,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","July 5th, 2018",Decision-Making Under Uncertainty in Multi-Agent and Multi-Robot Systems: Planning and Learning,http://www.ccs.neu.edu/home/camato/publications/ijcai18.pdf," Christopher Amato. In the Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence (IJCAI-18), July 2018","Multi-agent planning and learning methods are be- coming increasingly important in today’s intercon- nected world. Methods for real-world domains, such as robotics, must consider uncertainty and limited communication in order to generate high- quality, robust solutions. This paper discusses our work on developing principled models to represent these problems and planning and learning methods that can scale to realistic multi-agent and multi- robot tasks. 1The methods that have been discussed have shown a lot of promise, but there are other methods that are also promising (e.g., [Dibangoye et al., 2016; Claes et al., 2017; Nguyen et al., 2017]) and many open questions yet to solve. It is worth noting that the methods in this paper focused on the ‘full’ Dec-POMDP problem, where there was uncertainty about outcomes, sensing and communication and agents are depen- dent on all others, but some problems do not have all of these characteristics. In these cases, ideas from Dec-POMDP mod- els and methods could still be used, but structure may be able to be exploited to allow higher-quality, more efﬁcient solution methods. Some such structure has been explored [Oliehoek and Amato, 2016], but efﬁciently exploiting structure in other cases could lead to scalable methods that also consider un- certainty (e.g., probabilistic solutions to common multi-robot problems). Traditionally, scalability of Dec-POMDPs solution meth- ods has been an issue, but more recent methods (such as those discussed in this paper) can scale to large domains. One approach that is used to overcome this lack of scal- ability is deep reinforcement learning. Developing deep RL approaches for Dec-POMDP-based models is becom- ing a very active ﬁeld (e.g., [Foerster et al., 2016; 2017; Mordatch and Abbeel, 2017; Omidshaﬁei et al., 2017c; Rashid et al., 2018]) and the resulting methods can handle large state and observation spaces (and potentially large ac- tion spaces). These methods (including ours) require a lot of data and typically use a simulator, so they may ﬁt better in situations akin to the ofﬂine sample-based planning scenarios described earlier. Therefore, there has been a great deal of success in scal- ing planning and ofﬂine learning methods to large domains, but efﬁcient online learning remains a challenge. As men- tioned above, online learning in a Dec-POMDP must be de- centralized (since fast and free communication is not avail- able to centralize decision-making), leading to nonstationar- ity, which must (continue to) be tackled. Besides more effec- tively conquering nonstationarity in learning, other open re- search topics include developing planning and learning meth- ods with additional efﬁciency and scalability (in terms of the number of agents as well as action and observation spaces) and how to properly represent and encode history informa- tion for planning and learning. Overall, there has been great progress in solving large, realistic Dec-POMDPs. It will be exciting to see what further developments and applications will arise in the future."
Robotics,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","May 5th, 2018",Near-Optimal Adversarial Policy Switching for Decentralized Asynchronous Multi-Agent Systems,http://www.ccs.neu.edu/home/camato/publications/ICRA2018.pdf," Nghia Hoang, Yuchen Xiao, Kavinayan Sivakumar, Christopher Amato and Jonathan P. How. In the Proceedings of the 2018 IEEE International Conference on Robotics and Automation (ICRA-18), May 2018.","— A key challenge in multi-robot and multi-agent systems is generating solutions that are robust to other self- interested or even adversarial parties who actively try to prevent the agents from achieving their goals. The practicality of existing works addressing this challenge is limited to only small-scale synchronous decision-making scenarios or a single agent planning its best response against a single adversary with ﬁxed, procedurally characterized strategies. In contrast this paper considers a more realistic class of problems where a team of asynchronous agents with limited observation and communication capabilities need to compete against multiple strategic adversaries with changing strategies. This problem necessitates agents that can coordinate to detect changes in adversary strategies and plan the best response accordingly. Our approach ﬁrst optimizes a set of stratagems that represent these best responses. These optimized stratagems are then inte- grated into a uniﬁed policy that can detect and respond when the adversaries change their strategies. The near-optimality of the proposed framework is established theoretically as well as demonstrated empirically in simulation and hardware.This paper introduces a novel near-optimal adversarial pol- icy switching algorithm for decentralized, non-cooperative multi-agent systems. Unlike the existing works in literature which are mostly limited to simple decision-making sce- narios where a single agent plans its best response against an adversary whose strategy is speciﬁed a priori under reasonable assumptions, we investigate instead a class of multi-agent scenarios where multiple robots need to operate independently in collaboration with their teammates to act effectively against adversaries with changing strategies. To achieve this, we ﬁrst optimize a set of basic stratagems that each is tuned to respond optimally to a pre-identiﬁed basic tactic of the adversaries. The stratagems are then integrated into a uniﬁed policy which performs near-optimally against B1 B3 B2 R1 R2 B1 B3 B2 R1 R2 B1 B3 B2 R1 R2 (a) (b) (c) B3 B2 B1 R1 R2 B1 B3 B2 R1 R2 B1 B3 B2 R1 R2 (d) (e) (f) Fig. 6: Image excerpts from a video demo showing (1) a team of 3 allied (blue) robots (B1,B2 and B3) that implement the optimized stratagem produced by our framework (Section III) to compete against (2) an opposing team of 2 opponent (red) robots (R1 and R2) which implement the hand-coded tactics DL and DR (see Section VI-A), respectively: (a) B1,B2 and B3 decide to invade the opposition territory; (b) B1 and B3 decide to attack the center while B2 decides to take the left ﬂank of the opposition; (c) B2 passes through R1’s defense while B1 takes an interesting position to block R2 so that B3 can pass through its defense; (d) B1 and B2 detect the ﬂag and mount a pincer attack; (e) R2 arrives to defend the ﬂag and B2 retreats to avoid getting tagged; and (f) without noticing B1 from behind, R2 continues its DR patrol, thus losing the ﬂag to B1. any high-level strategies of the adversaries that switches between their basic tactics. The near-optimality of our pro- posed framework can be established in both theoretical and empirical settings with interesting and consistent results. We believe this is a signiﬁcant step towards bridging the gap between theory and practice in multi-agent research."
Robotics,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","August 4th, 2017",COG-DICE: An Algorithm for Solving Continuous-Observation Dec-POMDPs,http://www.ccs.neu.edu/home/camato/publications/cogdice_ijcai.pdf," COG-DICE: An Algorithm for Solving Continuous-Observation Dec-POMDPs. Madison Clark-Turner and Christopher Amato. In the Proceedings of the Twenty-Sixth International Joint Conference on Artificial Intelligence (IJCAI-17), August 2017","The decentralized partially observable Markov de- cision process (Dec-POMDP) is a powerful model for representing multi-agent problems with de- centralized behavior. Unfortunately, current Dec- POMDP solution methods cannot solve problems with continuous observations, which are common in many real-world domains. To that end, we present a framework for representing and gener- ating Dec-POMDP policies that explicitly include continuous observations. We apply our algorithm to a novel tagging problem and an extended version of a common benchmark, where it generates poli- cies that meet or exceed the values of equivalent discretized domains without the need for ﬁnding an adequate discretization. 1This paper presented, for the ﬁrst time, an algorithm that gen- erates joint policies for Dec-POMDPs with continuous ob- servations. We presented both a discrete-observation ver- sion of the algorithm, which is applicable in domains with a large number of discrete observations, and a continuous- observation version. This method is broadly applicable as many real-world domains have large or continuous observa- tion spaces. COG-DICE has been successful in generating joint policies for both a novel and a preexisting problem and has highlighted the negative impacts that inappropriate dis- cretization can have on joint policy structure and value. For future work, we are interested in extending this work to high- dimensional observation spaces by exploring other (nonlin- ear) divisions and optimizing the algorithm parameters by ei- ther integrating these optimizations into the algorithm or pos- sibly building on previous work on Bayesian non-parametrics [Liu et al., 2015]."
Robotics,Robin Walters,https://www.khoury.northeastern.edu/people/robin-walters/,"Robin Walters is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Deep learning; Equivariant neural networks; Representation theory; Algebraic geometry,"PhD in Mathematics, University of Chicago; AB in Mathematics, Harvard University","February 27th, 2023",Image to Sphere: Learning Equivariant Features for Efficient Pose Prediction,https://openreview.net/pdf?id=_2bDpAtr7PI," David Klee, Ondrej Biza, Robert Platt, Robin Walters. (2023). Image to Sphere: Learning Equivariant Features for Efficient Pose Prediction ICLR. https://openreview.net/pdf?id=_2bDpAtr7PI","Predicting the pose of objects from a single image is an important but difficult computer vision problem. Methods that predict a single point estimate do not predict the pose of objects with symmetries well and cannot represent uncertainty. Alternatively, some works predict a distribution over orientations in SO(3). How- ever, training such models can be computation- and sample-inefficient. Instead, we propose a novel mapping of features from the image domain to the 3D rotation manifold. Our method then leverages SO(3) equivariant layers, which are more sample efficient, and outputs a distribution over rotations that can be sampled at arbitrary resolution. We demonstrate the effectiveness of our method at object orientation prediction, and achieve state-of-the-art performance on the popular PASCAL3D+ dataset. Moreover, we show that our method can model complex object symmetries, without any modifications to the parameters or loss function. Code is available at https://dmklee.github.io/image2sphere. 1In this work, we present the first method to leverage SO(3)-equivariance for predicting distributions over 3D rotations from single images. Our method is better suited than regression methods at handling unknown object symmetries, generates more expressive distributions than methods using parametric families of multi-modal distributions while requiring fewer samples than an implicit modeling approach. We demonstrate state-of-the-art performance on the challenging PASCAL3D+ dataset composed of real images. One limitation of our work is that we use a high maximum frequency, L, in the spherical convolution operations to have higher resolution predictions. Because the number of operations in a spherical convolution is quadratic in L, it may be impractical for applications where more spherical convolutions are required. 9 Published as a conference paper at ICLR 2023"
Robotics,Robin Walters,https://www.khoury.northeastern.edu/people/robin-walters/,"Robin Walters is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Deep learning; Equivariant neural networks; Representation theory; Algebraic geometry,"PhD in Mathematics, University of Chicago; AB in Mathematics, Harvard University","February 1st, 2023","Symmetries, Flat Minima, and the Conserved Quantities of Gradient Flow",https://openreview.net/pdf?id=9ZpciCOunFb," Bo Zhao, Iordan Ganev, Robin Walters, Rose Yu, Nima Dehmamy. (2023). Symmetries, Flat Minima, and the Conserved Quantities of Gradient Flow ICLR. https://openreview.net/pdf?id=9ZpciCOunFb","Empirical studies of the loss landscape of deep networks have revealed that many local minima are connected through low-loss valleys. Yet, little is known about the theoretical origin of such valleys. We present a general framework for finding continuous symmetries in the parameter space, which carve out low-loss valleys. Our framework uses equivariances of the activation functions and can be applied to different layer architectures. To generalize this framework to nonlinear neu- ral networks, we introduce a novel set of nonlinear, data-dependent symmetries. These symmetries can transform a trained model such that it performs similarly on new samples, which allows ensemble building that improves robustness un- der certain adversarial attacks. We then show that conserved quantities associated with linear symmetries can be used to define coordinates along low-loss valleys. The conserved quantities help reveal that using common initialization methods, gradient flow only explores a small part of the global minimum. By relating con- served quantities to convergence rate and sharpness of the minimum, we provide insights on how initialization impacts convergence and generalizability. 1conclusion not found"
Robotics,Robin Walters,https://www.khoury.northeastern.edu/people/robin-walters/,"Robin Walters is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Deep learning; Equivariant neural networks; Representation theory; Algebraic geometry,"PhD in Mathematics, University of Chicago; AB in Mathematics, Harvard University","November 16th, 2022",The Surprising Effectiveness of Equivariant Models in Domains with Latent Symmetry,https://openreview.net/pdf?id=P4MUGRM4Acu," Dian Wang , Jung Yeon Park, Neel Sortur, Lawson L. S. Wong, Robin Walters, Robert Platt. (2023). The Surprising Effectiveness of Equivariant Models in Domains with Latent Symmetry ICLR. https://openreview.net/pdf?id=P4MUGRM4Acu","Extensive work has demonstrated that equivariant neural networks can signifi- cantly improve sample efficiency and generalization by enforcing an inductive bias in the network architecture. These applications typically assume that the do- main symmetry is fully described by explicit transformations of the model inputs and outputs. However, many real-life applications contain only latent or partial symmetries which cannot be easily described by simple transformations of the in- put. In these cases, it is necessary to learn symmetry in the environment instead of imposing it mathematically on the network architecture. We discover, surpris- ingly, that imposing equivariance constraints that do not exactly match the domain symmetry is very helpful in learning the true symmetry in the environment. We differentiate between extrinsic and incorrect symmetry constraints and show that while imposing incorrect symmetry can impede the model’s performance, impos- ing extrinsic symmetry can actually improve performance. We demonstrate that an equivariant model can significantly outperform non-equivariant methods on domains with latent symmetries both in supervised learning and in reinforcement learning for robotic manipulation and control problems. 1conclusion not found"
Robotics,Robin Walters,https://www.khoury.northeastern.edu/people/robin-walters/,"Robin Walters is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Deep learning; Equivariant neural networks; Representation theory; Algebraic geometry,"PhD in Mathematics, University of Chicago; AB in Mathematics, Harvard University","June 8th, 2022",Integrating Symmetry into Differentiable Planning with Steerable Convolutions,https://openreview.net/pdf?id=n7CPzMPKQl," Linfeng Zhao, Xupeng Zhu, Lingzhi Kong, Robin Walters, Lawson L. S. Wong. (2023). Integrating Symmetry into Differentiable Planning with Steerable Convolutions ICLR. https://openreview.net/pdf?id=n7CPzMPKQl","In this paper, we study a principled approach on incorporating group symme- try into end-to-end differentiable planning algorithms and explore the benefits of symmetry in planning. To achieve this, we draw inspiration from equivariant con- volution networks and model the path planning problem as a set of signals over grids. We demonstrate that value iteration can be treated as a linear equivariant op- erator, which is effectively a steerable convolution. Building upon Value Iteration Networks (VIN), we propose a new Symmetric Planning (SymPlan) framework that incorporates rotation and reflection symmetry using steerable convolution networks. We evaluate our approach on four tasks: 2D navigation, visual navi- gation, 2 degrees of freedom (2-DOF) configuration space manipulation, and 2- DOF workspace manipulation. Our experimental results show that our symmetric planning algorithms significantly improve training efficiency and generalization performance compared to non-equivariant baselines, including VINs and GPPN. 1, SymVIN and SymGPPN generalize better to different map sizes, com- pared to all non-equivariant baselines. Remark. In summary, our results show that the Sym- Plan models demonstrate end-to-end planning and learn- ing ability, potentially enabling further applications to other tasks as a differentiable component for planning. Additional results and ablation studies are in Appendix H. 7 DISCUSSION In this work, we study the symmetry in the 2D path-planning problem, and build a framework using the theory of steerable CNNs to prove that value iteration in path planning is actually a form of steer- able CNN (on 2D grids). Motivated by our theory, we proposed two symmetric planning algorithms that provided significant empirical improvements in several path-planning domains. Although our focus in this paper has been on Z2, our framework can potentially generalize to path planning on higher-dimensional or even continuous Euclidean spaces (Weiler et al., 2018; Brandstetter et al., 2021), by using equivariant operations on steerable feature fields (such as steerable convolutions, pooling, and point-wise non-linearities) from steerable CNNs. We hope that our SymPlan frame- work, along with the design of practical symmetric planning algorithms, can provide a new pathway for integrating symmetry into differentiable planning. 9 Published as a conference paper at ICLR 2023 8 ACKNOWLEDGEMENT This work was supported by NSF Grants #2107256 and #2134178. R. Walters is supported by The Roux Institute and the Harold Alfond Foundation. We also thank the audience from previous poster and talk presentations for helpful discussions and anonymous reviewers for useful feedback. 9 REPRODUCIBILITY STATEMENT We provide additional details in the appendix. We also plan to open source the codebase. We briefly outline the appendix below. 1. Additional Discussion 2. Background: Technical background and concepts on steerable CNNs and group CNNs 3. Method: we provide full details on how to reproduce it 4. Theory/Framework: we provide the complete version of the theory statements 5. Proofs: this includes all proofs 6. Experiment / Environment / Implementation details: useful details for reproducibility 7. Additional results 10 Published as a conference paper at ICLR 2023"
