,Research Area,Lab Name,Summary
48,Human-Centered Computing,"Technology, Equity, and Accessibility (TEA) Lab","Technology, Equity, and Accessibility (TEA) Lab at Northeastern University aims to make collaboration, creative work, and learning more accessible and equitable for people with disabilities. Research sits at the intersection of Human-Computer Interaction (HCI), Computer-Supported Cooperative Work (CSCW), and Accessible Computing. We take a community-centered approach that involves contextual interviews, ethnographic field observations, and long-term involvement with community partners."
49,Human-Centered Computing,Ubiquitous Computing for Health and Well-being (UbiWell) Lab,The Ubiquitous Computing for Health and Well-being (UbiWell) Lab is an interdisciplinary research group at Northeastern University. We work on developing data-driven solutions to enable effective sensing and interventions for mental- and behavioral-health outcomes.
50,Machine Learning,Applied Machine Learning Group,"Dean Carla E.Brodley, PhD, is a professor of computer science and engineering at Northeastern. Professor Brodley’s research group, Applied Machine Learning at the Khoury College of Computer Sciences, focuses on core issues of machine learning."
51,Machine Learning,Databases (DATA Lab),"The Data Lab @ Northeastern University is one of the leading research groups in data management and data systems. Recent research projects include query visualization, data provenance, data discovery, data lake management, and scalable approaches to perform inference over uncertain and networked data. ForFaculty positionsseeCollege ads."
52,Machine Learning,Lab for Learning and Planning in Robotics,"Real-world autonomous systems must deal with noisy and limited sensors, termed partial observability. We work on planning and reinforcement learning methods for dealing with these realistic partial observable and/or multi-agent settings. The resulting method will allow agents to reason about"
53,Machine Learning,mHealth,
54,Machine Learning,Northeastern University Visualization Consortium (NUVis),NUVis is an interdisciplinary cross-university initiative to support the university’s research efforts in visualization. NUVis sponsors talks and symposia including a bi-weekly seminar.
55,Machine Learning,Signal Processing and Artificial Intelligence for Time Variant Health Data (SATH) Lab,"The Sath Lab is an interdisciplinary group transforming digital innovation to improve personal health. We're changing the way the world thinks about personal health, using data-driven tools."
56,Machine Learning,Statistical Methods for Studies of Biomolecular Systems," institute on computation and statistics for mass spectrometry and proteomics. April 29 – May 10, 2024 in person on Boston campus is accepting applications."
57,Machine Learning,Synergetic Media Learning (SMiLe) Lab,"SMILE lab focuses on the frontier research ofArtificial Intelligence, especiallyMachine Learning,Computer VisionandData Mining. Research is driven by the explosion of real-world diverse and massive data."
58,Natural Language Processing,Relational Agents Group,"Relational Agents Group is a research team at Northeastern University in Boston, MA. We work on simulating face-to-face counseling, primarily in health education and health behavior change interventions."
59,Natural Language Processing,Northeastern Natural Language Processing Research Group,"The Natural Language Processing Group at Northeastern University works on a wide range of research problems involving machine learning methods. Topics of interest include:Biomedical NLP,Applications in the Digital Humanities,Computational Social Science,Interpretability / explainable NLP models,Data Extraction,Text Summarization,Bias and Fairness, among others."
60,Network Science,Network Science Institute,"Network Science Institute at Northeastern University working to discover and inspire fundamentally new ways to measure, model, predict and visualize meaningful interactions and interconnectivity of social, physical and technological systems. New episode 'Criminal Networks' on the 'Data Skeptic' podcast."
61,Network Science,Center for Complex Network Research,Barabasi Lab relies on technological advances to move the conceptual framework forward. We are just as likely to use art as we are mathematics to achieve this. They are all part of the same journey of discovery.
62,Network Science,Collaborative Social Systems Lab,
63,Network Science,Databases (DATA Lab),"The Data Lab @ Northeastern University is one of the leading research groups in data management and data systems. Recent research projects include query visualization, data provenance, data discovery, data lake management, and scalable approaches to perform inference over uncertain and networked data. ForFaculty positionsseeCollege ads."
64,Network Science,Data Visualization @ Khoury,"Data visualizations are designed to leverage the impressive human visual bandwidth so that users can spot clusters, gaps, trends, outliers in the data within a fraction of a second. Research on visualization involves understanding human perception and vision, visual encodings, design thinking and color choice."
65,Network Science,Emergent Epidemics Lab,"Samuel V. Scarpino, PhD is the Director of AI + Life Sciences at Northeastern University. He also holds appointments in the Institute for Experiential AI, the Network Science Institute, and the Roux Institute."
66,Network Science,Lazer Lab,"Get in touch with us, send us your message. Don't miss our latest messages, here is a list of them. We are waiting to welcome you."
67,Network Science,MOBS Lab,"MOBS Lab is home to research projects aimed at developing innovative mathematical models and computational tools. The laboratory, part of theNetwork Science Institute, is directed by Alessandro Vespignani."
68,Network Science,"NULab for Texts, Maps, and Networks","The NULab is the center for digital humanities and computational social science at Northeastern University. Learn more about research projects, events, and news here."
69,Personal Health Informatics,Consortium on Technology for Proactive Care,"The Consortium on Technology for Proactive Care is an interdisciplinary research group at Northeastern University. The group is focused on the integration of home and mobile sensing technologies, just-in-time assessments and interventions."
70,Personal Health Informatics,mHealth Research Group,
71,Personal Health Informatics,Relational Agents Group,"Relational Agents Group is a research team at Northeastern University in Boston, MA. We work on simulating face-to-face counseling, primarily in health education and health behavior change interventions."
72,Personal Health Informatics,Signal Processing and Artificial Intelligence for Time Variant Health Data (SATH) Lab,"The Sath Lab is an interdisciplinary group transforming digital innovation to improve personal health. We're changing the way the world thinks about personal health, using data-driven tools."
73,Personal Health Informatics,Ubiquitous Computing for Health and Well-being (UbiWell) Lab,The Ubiquitous Computing for Health and Well-being (UbiWell) Lab is an interdisciplinary research group at Northeastern University. We work on developing data-driven solutions to enable effective sensing and interventions for mental- and behavioral-health outcomes.
74,Programming Languages,Programming Research Laboratory,"Programming Research Laboratory is part of the Khoury College of Computer Sciences at Northeastern University. We take a multi-faceted approach to the study of programming languages and programming methodology. We conduct research on all aspects of programming, including:"
75,Robotics,Cognitive Embodied Social Agents Research (CESAR) Lab,"The CESAR lab works on the computational modeling of human behavior. Current research includes modeling human decision-making, emotions, social interaction and nonverbal behavior. The research is being applied to craft embodied pedagogical agents in manufacturing."
76,Robotics,Helping Hands Lab,"The Helping Hands Lab developsperception, planning, and control algorithms for robot manipulation in unstructured environments. We are particularly interested in robots that work with humans in built-for-human environments."
77,Robotics,Institute for Experiential Robotics,Institute for Experiential Robotics is focused on the development of robots able to learn and adaptively execute autonomous behaviors. IER research is organized into five thrusts: Integrating human experience into the design and development of autonomous and robotic systems to ensure seamless collaboration.
78,Robotics,Lab for Learning and Planning in Robotics,"Real-world autonomous systems must deal with noisy and limited sensors, termed partial observability. We work on planning and reinforcement learning methods for dealing with these realistic partial observable and/or multi-agent settings. The resulting method will allow agents to reason about"
79,Robotics,Relational Agents Group,"Relational Agents Group is a research team at Northeastern University in Boston, MA. We work on simulating face-to-face counseling, primarily in health education and health behavior change interventions."
80,Software Engineering,Programming Research Laboratory,"Programming Research Laboratory is part of the Khoury College of Computer Sciences at Northeastern University. We take a multi-faceted approach to the study of programming languages and programming methodology. We conduct research on all aspects of programming, including:"
81,Systems and Networking,Databases (DATA Lab),"The Data Lab @ Northeastern University is one of the leading research groups in data management and data systems. Recent research projects include query visualization, data provenance, data discovery, data lake management, and scalable approaches to perform inference over uncertain and networked data. ForFaculty positionsseeCollege ads."
82,Systems and Networking,Massachusetts Open Cloud,The New England Research Cloud is generally available for research and education users. NERC charges users rates sufficient to cover costs and enable the cloud to grow. The Mass OpenCloud Alliance (MOC Alliance) aims to accelerate the pace of discovery and innovation in an open production research-focused cloud.
83,Systems and Networking,Network and Distributed Systems Security (NDS2),"The Network and Distributed Systems Security Laboratory (NDS2) focuses on building distributed systems and network protocols. Systems we study include: IoT, connected cars, clouds, distributed ledgers, software-defined infrastructure."
84,Systems and Networking,Solid State Storage Lab,
85,Systems and Networking,Systems Research Group, Systems Research Group is part of the Northeastern University
