Lab Name,Link,Research Area
Consortium on Technology for Proactive Care,https://ctpc.khoury.northeastern.edu/,Personal Health Informatics
mHealth Research Group,https://www.mhealthgroup.org/,Personal Health Informatics
Relational Agents Group,https://relationalagents.com/,Personal Health Informatics
Signal Processing and Artificial Intelligence for Time Variant Health Data (SATH) Lab,https://www.thesathlab.com/,Personal Health Informatics
Ubiquitous Computing for Health and Well-being (UbiWell) Lab,https://ubiwell.io/,Personal Health Informatics
Programming Research Laboratory,https://prl.khoury.northeastern.edu/,Programming Languages
Cognitive Embodied Social Agents Research (CESAR) Lab,https://www.cesarlab.org/,Robotics
Helping Hands Lab,https://www2.ccs.neu.edu/research/helpinghands/,Robotics
Institute for Experiential Robotics,https://robotics.northeastern.edu/,Robotics
Lab for Learning and Planning in Robotics,https://llpr.ccs.neu.edu/,Robotics
Relational Agents Group,https://relationalagents.com/,Robotics
Programming Research Laboratory,https://prl.khoury.northeastern.edu/,Software Engineering
Databases (DATA Lab),https://db.khoury.northeastern.edu/,Systems and Networking
Massachusetts Open Cloud,https://massopen.cloud/,Systems and Networking
Network and Distributed Systems Security (NDS2),https://nds2.ccs.neu.edu/,Systems and Networking
Solid State Storage Lab,http://sssl.khoury.northeastern.edu/,Systems and Networking
Systems Research Group,https://srg.khoury.northeastern.edu/,Systems and Networking
